q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,,t1,t2,t3,t4
0,-90,90,0,0,0,,,,,
,,,,,,,-6.123233996e-17,-6.123233996e-17,1,1815
,,,,,,,-6.123233996e-17,1,6.123233996e-17,4.286263797e-15
,,,,,,,-1,-6.123233996e-17,-6.123233996e-17,2290
,,,,,,,0,0,0,1
,,,,,,,,,,
0,0,0,0,0,0,,,,,
,,,,,,,-6.123233996e-17,-6.123233996e-17,1,3115
,,,,,,,-6.123233996e-17,1,6.123233996e-17,8.388830574e-14
,,,,,,,-1,-6.123233996e-17,-6.123233996e-17,990
,,,,,,,0,0,0,1
,,,,,,,,,,
30,-20,40,10,-30,60,,,,,
,,,,,,,-0.3423464313,0.2889778083,0.8940306188,2568.070293
,,,,,,,-0.8739780376,0.2513538727,-0.4159129963,-1453.601887
,,,,,,,-0.3449076845,-0.9237494557,0.1665101565,1135.660391
,,,,,,,0,0,0,1
,,,,,,,,,,
-45,-60,20,-90,45,-30,,,,,
,,,,,,,-0.9919794148,0.0478856966,-0.1169777784,1359.464915
,,,,,,,-0.125954011,-0.4521143034,0.8830222216,1649.464915
,,,,,,,-0.01060319262,0.890673687,0.4545194777,2919.368529
,,,,,,,0,0,0,1
,,,,,,,,,,
90,-30,100,120,-60,180,,,,,
,,,,,,,0.4330127019,0.5,0.75,217.5
,,,,,,,0.5311212879,-0.8137976813,0.235888769,-1856.312835
,,,,,,,0.7282926455,0.2961981327,-0.6179453768,533.7997966
,,,,,,,0,0,0,1
,,,,,,,,,,
-120,10,-80,-150,90,-120,,,,,
,,,,,,,0.7674634373,-0.640560644,-0.02611386122,-1098.82493
,,,,,,,0.1707143336,0.2434581769,-0.9547694656,1613.220607
,,,,,,,0.6179453768,0.7282926455,0.2961981327,1849.528656
,,,,,,,0,0,0,1
,,,,,,,,,,
