test_id,sol_id,q1_test_deg,q2_test_deg,q3_test_deg,q4_test_deg,q5_test_deg,q6_test_deg,q1_sol_deg,q2_sol_deg,q3_sol_deg,q4_sol_deg,q5_sol_deg,q6_sol_deg,pos_err_mm,ang_err_deg,dq_norm_deg,wrist_singular_flag
1,1,0,-90,90,0,0,0,0,-90,90,0,0,0,0,0,0,1
1,2,0,-90,90,0,0,0,0,-11.07121314,-96.14292423,0,107.2141374,0,2.273736754e-13,0,218.9769564,0
1,3,0,-90,90,0,0,0,0,-11.07121314,-96.14292423,-180,-107.2141374,-180,2.41019985e-13,0,335.784019,0
2,1,0,0,0,0,0,0,0,5.08888749e-14,-1.272221873e-13,0,0,0,5.684341886e-13,0,1.370224891e-13,1
2,2,0,0,0,0,0,0,0,2.710262582,-6.142924234,-5.08888749e-14,3.432661652,5.08888749e-14,3.414090191e-13,0,7.54083599,0
2,3,0,0,0,0,0,0,0,2.710262582,-6.142924234,-180,-3.432661652,-180,3.410675454e-13,0,254.6701086,0
3,1,30,-20,40,10,-30,60,30,-20,40,10,-30,60,8.198074455e-13,0,6.232588855e-14,0
3,2,30,-20,40,10,-30,60,30,17.75855815,-46.14292423,-15.16066959,19.38956882,83.01944719,5.084229946e-13,0,111.5732757,0
3,3,30,-20,40,10,-30,60,30,17.75855815,-46.14292423,164.8393304,-19.38956882,-96.98055281,5.084229946e-13,0,239.9520901,0
3,4,30,-20,40,10,-30,60,30,-20,40,-170,30,-120,8.198074455e-13,0,261.5339366,0
4,1,-45,-60,20,-90,45,-30,-45,-60,20,-90,45,-30,6.431098711e-13,0,1.648988013e-13,0
4,2,-45,-60,20,-90,45,-30,-45,-39.67779656,-26.14292423,-66.4641455,50.46791895,-64.38339246,5.569494858e-13,0,65.63698402,0
4,3,-45,-60,20,-90,45,-30,-45,-39.67779656,-26.14292423,113.5358545,-50.46791895,115.6166075,5.084229946e-13,0,239.460874,0
4,4,-45,-60,20,-90,45,-30,-45,-60,20,90,-45,150,6.431098711e-13,1.20741827e-06,270,0
5,1,20,-40,60,90,0.01,45,20,-40,60,90,0.01,45,5.084229946e-13,0,2.126116929e-10,0
5,2,20,-40,60,90,0.01,45,20,14.8181692,-66.14292423,0.01055577514,71.32475533,134.99662,8.276526716e-13,0,200.5002619,0
5,3,20,-40,60,90,0.01,45,20,14.8181692,-66.14292423,-179.9894442,-71.32475533,-45.00338,8.198074455e-13,0,200.5198865,0
5,4,20,-40,60,90,0.01,45,20,-40,60,-90,-0.01,-135,5.084229946e-13,0,254.558442,0
6,1,-60,-30,80,-120,-0.01,-90,-60,-30,80,-120,-0.01,-90,6.431098711e-13,0,1.309520289e-10,0
6,2,-60,-30,80,-120,-0.01,-90,-60,-30,80,60,0.01,90,6.431098711e-13,0,254.558442,0
7,1,184,-60,40,0,10,0,-176,-60,40,5.08888749e-14,10,0,6.431098711e-13,0,5.689549179e-14,0
7,2,184,-60,40,0,10,0,-176,-22.24144185,-46.14292423,0,58.38436609,0,1.113898972e-12,0,105.7703124,0
7,3,184,-60,40,0,10,0,-176,-60,40,-180,-10,-180,6.635114875e-13,0,255.3429067,0
7,4,184,-60,40,0,10,0,-176,-22.24144185,-46.14292423,-180,-58.38436609,-180,1.091926419e-12,0,279.8619903,0
8,1,-184,-60,40,0,10,0,176,-60,40,-2.289999371e-13,10,2.035554996e-13,1.465028159e-12,0,3.074463075e-13,0
8,2,-184,-60,40,0,10,0,176,-22.24144185,-46.14292423,-5.08888749e-14,58.38436609,2.544443745e-14,1.656281061e-12,1.20741827e-06,105.7703124,0
8,3,-184,-60,40,0,10,0,176,-60,40,180,-10,-180,1.492072073e-12,0,255.3429067,0
8,4,-184,-60,40,0,10,0,176,-22.24144185,-46.14292423,-180,-58.38436609,-180,1.888707598e-12,0,279.8619903,0
9,1,0,19,20,0,10,0,0,19,20,-2.544443745e-14,10,2.544443745e-14,6.108434619e-14,0,8.046237613e-14,0
9,2,0,19,20,0,10,0,0,19,20,-180,-10,-180,5.723768902e-14,0,255.3429067,0
10,1,0,-129,20,0,10,0,0,-129,20,0,10,0,1.016845989e-12,0,7.196773706e-14,0
10,2,0,-129,20,0,10,0,0,-108.6777966,-26.14292423,0,35.82072079,0,9.165725883e-13,0,56.64689781,0
10,3,0,-129,20,0,10,0,0,-129,20,-180,-10,-180,1.016868106e-12,0,255.3429067,0
10,4,0,-129,20,0,10,0,-180,-114.0695517,58.8606868,-180,25.79113511,0,5.980105937e-13,0,258.4229696,0
10,5,0,-129,20,0,10,0,-180,-114.0695517,58.8606868,0,-25.79113511,-180,6.018177332e-13,0,260.4113604,0
10,6,0,-129,20,0,10,0,0,-108.6777966,-26.14292423,-180,-35.82072079,-180,9.169851153e-13,0,263.5179308,0
10,7,0,-129,20,0,10,0,-180,-60.20834374,-65.00361103,0,44.21195478,-180,4.958450467e-13,0,279.1565219,0
10,8,0,-129,20,0,10,0,-180,-60.20834374,-65.00361103,-180,-44.21195478,0,5.107261759e-13,0,282.3062909,0
