test_id,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,n_solutions,max_pos_err_mm,max_ang_err_deg,recovered_original,n_wrist_singular_flags
1,0,-90,90,0,0,0,3,2.41019985e-13,0,1,1
2,0,0,0,0,0,0,3,5.684341886e-13,0,1,1
3,30,-20,40,10,-30,60,4,8.198074455e-13,0,1,0
4,-45,-60,20,-90,45,-30,4,6.431098711e-13,1.20741827e-06,1,0
5,20,-40,60,90,0.01,45,4,8.276526716e-13,0,1,0
6,-60,-30,80,-120,-0.01,-90,2,6.431098711e-13,0,1,0
7,184,-60,40,0,10,0,4,1.113898972e-12,0,1,0
8,-184,-60,40,0,10,0,4,1.888707598e-12,1.20741827e-06,1,0
9,0,19,20,0,10,0,2,6.108434619e-14,0,1,0
10,0,-129,20,0,10,0,8,1.016868106e-12,0,1,0
11,0,-60,143,0,10,0,2,1.049094726e-12,0,1,0
12,0,-60,-99,0,10,0,2,9.112940061e-13,0,1,0
13,0,-60,40,349,10,0,4,4.556346636e-13,1.707547293e-06,1,0
14,0,-60,40,-349,10,0,4,4.592217417e-13,1.707547293e-06,1,0
15,0,-60,40,0,119,0,2,6.485459386e-13,0,1,0
16,0,-60,40,0,-119,0,4,8.198074455e-13,1.20741827e-06,1,0
17,0,-60,40,0,10,349,4,6.448353174e-13,1.20741827e-06,1,0
18,0,-60,40,0,10,-349,4,6.448353174e-13,1.20741827e-06,1,0
